Secret codes for all landscapes in The Sentinel (aka The Sentry)

Generated by: https://github.com/simonowen/sentcode

+------+----------+----------+----------+----------+----------+
| Land | BBC/C64  |   CPC    | Spectrum |  PC/ST   |  Amiga   |
| 0030 | 06127473 | 41062296 | 69767034 | 98926298 | 82872745 |
| 0031 | 58595499 | 94185468 | 92456959 | 29764687 | 40759878 |
| 0032 | 46810851 | 57640765 | 03557399 | 87717819 | 07704147 |
| 0033 | 55222257 | 51837557 | 47216743 | 77669404 | 07304187 |
| 0034 | 08256658 | 03549980 | 85984737 | 56736905 | 77979086 |
| 0035 | 58674839 | 46855644 | 99618294 | 92867041 | 14767076 |
| 0036 | 58999784 | 68261871 | 99954277 | 40486766 | 97578966 |
| 0037 | 59878425 | 34454988 | 65594046 | 06856789 | 94947555 |
| 0038 | 44125494 | 69096154 | 46513289 | 65506867 | 66947638 |
| 0039 | 26256459 | 89515235 | 49656739 | 96740418 | 80949893 |
| 0040 | 47249305 | 19390739 | 86062226 | 18854704 | 45449218 |
| 0041 | 61744991 | 68195946 | 88674507 | 96756579 | 48195492 |
| 0042 | 74557326 | 51957584 | 00544319 | 67887349 | 48865969 |
| 0043 | 46358774 | 74666797 | 37234566 | 40658770 | 84199553 |
| 0044 | 04479116 | 45888884 | 76499664 | 65464697 | 96088666 |
| 0045 | 97607185 | 47577247 | 61967526 | 18159455 | 69262975 |
| 0046 | 92342485 | 66526784 | 79762535 | 78387688 | 68644289 |
| 0047 | 97154749 | 49877068 | 66530669 | 88946757 | 14716478 |
| 0048 | 68769439 | 93458839 | 53139247 | 57765168 | 53612998 |
| 0049 | 05451918 | 58764753 | 69955875 | 88899484 | 96315693 |
| 0050 | 56303937 | 37411586 | 84084664 | 88877661 | 61185004 |
| 0051 | 03788788 | 34496998 | 71973967 | 63819469 | 44925538 |
| 0052 | 87387467 | 32057214 | 10811544 | 59548975 | 73690497 |
| 0053 | 68027574 | 91086749 | 71926626 | 52308715 | 94649521 |
| 0054 | 62678839 | 36954714 | 44597942 | 68599814 | 04597913 |
| 0055 | 63769945 | 53704469 | 33865982 | 08182275 | 73883958 |
| 0056 | 52606067 | 60919699 | 95163442 | 57851443 | 35272278 |
| 0057 | 42876970 | 63022741 | 69414777 | 59446976 | 11275530 |
| 0058 | 55907246 | 67809998 | 43983978 | 65855947 | 46574972 |
| 0059 | 65581831 | 58764476 | 27156086 | 48439574 | 89759326 |
| 0060 | 95647539 | 67917989 | 55361541 | 65155664 | 17474995 |
| 0061 | 69911956 | 98517773 | 15524414 | 88694974 | 26060764 |
| 0062 | 79796354 | 10756174 | 22698418 | 97656787 | 48596953 |
| 0063 | 87985696 | 29656579 | 68703477 | 48880589 | 15828576 |
| 0064 | 44879549 | 16297268 | 88789888 | 44491140 | 84400800 |
| 0065 | 95694567 | 73004828 | 82974958 | 94634608 | 28635444 |
| 0066 | 84552864 | 25586071 | 58987434 | 49396615 | 68657887 |
| 0067 | 89284408 | 84861268 | 51783645 | 96955912 | 78594154 |
| 0068 | 95350697 | 61288686 | 65829527 | 21433764 | 67651811 |
| 0069 | 86493919 | 59646776 | 37509947 | 55454794 | 83219410 |
| 0070 | 90623978 | 46744722 | 73891540 | 62793765 | 56388753 |
| 0071 | 84669974 | 98766866 | 87182559 | 33586247 | 97734709 |
| 0072 | 36412735 | 41486493 | 09857276 | 69634783 | 56979496 |
| 0073 | 47407986 | 89533684 | 36923895 | 39364093 | 77809996 |
| 0074 | 40365792 | 95878553 | 45977455 | 86447909 | 83530567 |
| 0075 | 44189987 | 74028009 | 27890184 | 29267906 | 22167433 |
| 0076 | 39689467 | 99522386 | 49592774 | 12852574 | 85528907 |
| 0077 | 37385088 | 87849546 | 91027664 | 65656266 | 95520600 |
| 0078 | 16110769 | 38651466 | 50879594 | 70673552 | 55826536 |
| 0079 | 15776189 | 45689152 | 00788066 | 06932271 | 74678080 |
| 0080 | 98638697 | 48730556 | 51458381 | 88696595 | 18452261 |
| 0081 | 45556714 | 14165674 | 64569314 | 22607536 | 99071995 |
| 0082 | 86845975 | 48313603 | 65641305 | 62976709 | 45949644 |
| 0083 | 94135207 | 96746284 | 19057750 | 43977196 | 64099544 |
| 0084 | 87459766 | 55232075 | 65026999 | 56487688 | 44581314 |
| 0085 | 74477986 | 09376970 | 50846985 | 92889540 | 65909828 |
| 0086 | 92616151 | 92848084 | 78269016 | 02166969 | 11697873 |
| 0087 | 93966068 | 88794244 | 34554709 | 98394169 | 31676074 |
| 0088 | 16436772 | 02135120 | 47574594 | 69572284 | 24378778 |
| 0089 | 94853041 | 18710749 | 45039464 | 39188647 | 78457428 |
| 0090 | 24268648 | 05480507 | 53885731 | 23588937 | 99173184 |
| 0091 | 78356864 | 85921528 | 98825894 | 12415634 | 77692814 |
| 0092 | 49528334 | 72627605 | 16988405 | 58859477 | 27281098 |
| 0093 | 55497267 | 64489677 | 74764690 | 33282125 | 98553977 |
| 0094 | 89101752 | 68760948 | 73544725 | 28294994 | 57508988 |
| 0095 | 97164487 | 46905799 | 59966431 | 99348357 | 48883305 |
| 0096 | 84252850 | 66116711 | 35281455 | 51080925 | 45791067 |
| 0097 | 52741821 | 71752760 | 93972289 | 74976881 | 25407995 |
| 0098 | 05949900 | 24298835 | 50194977 | 26458581 | 48758459 |
| 0099 | 06929398 | 41841684 | 50502696 | 56157984 | 08568571 |
| 0100 | 47600944 | 57228885 | 97269987 | 91680888 | 89766748 |
| 0101 | 64655497 | 62319763 | 63949077 | 87354969 | 74978556 |
| 0102 | 75836066 | 27397947 | 95845433 | 53304135 | 68482823 |
| 0103 | 06443366 | 88780704 | 44436516 | 73766948 | 36873128 |
| 0104 | 43340568 | 84609586 | 86898649 | 31686498 | 91991885 |
| 0105 | 55991450 | 93267006 | 78149335 | 06645859 | 56485425 |
| 0106 | 59566691 | 20860235 | 47159570 | 57649461 | 37658454 |
| 0107 | 95187952 | 64454511 | 38945656 | 74733891 | 11447158 |
| 0108 | 55442611 | 40308203 | 11319092 | 70431969 | 77894636 |
| 0109 | 94299331 | 76598464 | 09746888 | 75410975 | 16894625 |
| 0110 | 58948933 | 88172772 | 55877549 | 99947605 | 95646138 |
| 0111 | 78491623 | 66093977 | 64569481 | 35112835 | 82159639 |
| 0112 | 47686569 | 58435483 | 18655499 | 92945892 | 49453658 |
| 0113 | 66416626 | 69915919 | 33065887 | 48996484 | 95810939 |
| 0114 | 89936037 | 94464491 | 78846261 | 80913692 | 17788748 |
| 0115 | 68851149 | 77629555 | 43965598 | 59549907 | 07921047 |
| 0116 | 69349457 | 19700615 | 80007886 | 88667257 | 79346847 |
| 0117 | 17501500 | 64414384 | 58902615 | 91616565 | 48565473 |
| 0118 | 98889865 | 48366595 | 28498519 | 95959716 | 75948469 |
| 0119 | 78288249 | 96854484 | 75849730 | 79854657 | 54742379 |
| 0120 | 61444535 | 04720486 | 90898287 | 35645495 | 66438164 |
| 0121 | 35824552 | 47027971 | 91739418 | 62551403 | 83984862 |
| 0122 | 67399708 | 80595666 | 42213878 | 64869119 | 13648855 |
| 0123 | 67309877 | 83566723 | 46148772 | 17135529 | 44846425 |
| 0124 | 60436598 | 19329764 | 94189889 | 47578848 | 11264533 |
| 0125 | 08317134 | 64887929 | 69137918 | 59189224 | 37878458 |
| 0126 | 24141225 | 84656233 | 65280897 | 95458538 | 24960473 |
| 0127 | 74515995 | 51907531 | 39769646 | 97855185 | 06567770 |
| 0128 | 07589191 | 78940982 | 46669699 | 57240068 | 75075454 |
| 0129 | 77526629 | 64758872 | 79694671 | 14553746 | 24627862 |
| 0130 | 75888217 | 84315703 | 49139574 | 14139294 | 55473113 |
| 0131 | 49942878 | 85713587 | 81427952 | 81468485 | 76454165 |
| 0132 | 17156752 | 87605506 | 97928594 | 78246737 | 49613491 |
| 0133 | 98570987 | 76910317 | 66606745 | 68807895 | 82013020 |
| 0134 | 85704630 | 19054817 | 35281672 | 58608886 | 06898483 |
| 0135 | 44176198 | 67895089 | 76869168 | 44719924 | 33784445 |
| 0136 | 52399957 | 04399444 | 21943987 | 96456855 | 88818064 |
| 0137 | 71858852 | 69959454 | 50202322 | 81076336 | 87964585 |
| 0138 | 87850471 | 82657944 | 67341674 | 60566597 | 29420979 |
| 0139 | 27599741 | 79945134 | 67319181 | 88516594 | 97498572 |
| 0140 | 24389988 | 66293776 | 99784755 | 84891485 | 24531894 |
| 0141 | 36715860 | 37204894 | 96316528 | 28959534 | 47596026 |
| 0142 | 56159075 | 99684734 | 57870395 | 49652969 | 04682766 |
| 0143 | 46289688 | 67888869 | 00544637 | 57921424 | 79511949 |
| 0144 | 02386867 | 37560715 | 31956489 | 64558555 | 32351417 |
| 0145 | 90025474 | 52842273 | 05708852 | 36864458 | 94539612 |
| 0146 | 30898307 | 40457239 | 78006994 | 13081446 | 85908226 |
| 0147 | 45801148 | 28797693 | 72864898 | 65843767 | 99702982 |
| 0148 | 74867683 | 39507737 | 88661964 | 59886295 | 27605955 |
| 0149 | 74262866 | 14935556 | 74724172 | 57230658 | 57563385 |
| 0150 | 26531550 | 89060253 | 86743780 | 21928584 | 92856449 |
| 0151 | 75259299 | 70696589 | 86465965 | 97650365 | 95666872 |
| 0152 | 96432992 | 83948947 | 63955717 | 59847059 | 86737216 |
| 0153 | 16912895 | 60455471 | 95527857 | 89284482 | 57884492 |
| 0154 | 58894720 | 25414754 | 58348764 | 85594556 | 56191275 |
| 0155 | 41176381 | 28372685 | 83371658 | 88454809 | 57809454 |
| 0156 | 05580515 | 71899782 | 07619269 | 99076986 | 87745609 |
| 0157 | 65346486 | 04689238 | 94197426 | 69748378 | 99996465 |
| 0158 | 85880495 | 96176664 | 49148336 | 48566274 | 15858939 |
| 0159 | 19898583 | 77398446 | 25747538 | 45462773 | 65709367 |
| 0160 | 97449975 | 59141476 | 72599388 | 73959799 | 29885676 |
| 0161 | 74862148 | 86061883 | 18888259 | 97676649 | 66818281 |
| 0162 | 94587559 | 49996328 | 43866617 | 87804759 | 54384993 |
| 0163 | 98881430 | 71424547 | 69238874 | 67855936 | 68084182 |
| 0164 | 66167480 | 83567978 | 50278879 | 05934741 | 99454739 |
| 0165 | 77474644 | 31616384 | 65780576 | 48944963 | 26255846 |
| 0166 | 61995875 | 10449170 | 16100221 | 22667494 | 53735480 |
| 0167 | 32766491 | 91764909 | 69755377 | 15718558 | 73937443 |
| 0168 | 90956740 | 49146583 | 18688889 | 64998798 | 78598476 |
| 0169 | 67979831 | 14659411 | 14799925 | 97551947 | 16788555 |
| 0170 | 19393781 | 43399317 | 62430074 | 50321244 | 24824565 |
| 0171 | 55178677 | 79499206 | 59177689 | 58788589 | 67556586 |
| 0172 | 86904934 | 86454758 | 78556157 | 69128576 | 82678584 |
| 0173 | 96433672 | 68656439 | 92797416 | 15899488 | 86167678 |
| 0174 | 29532374 | 69199515 | 98179575 | 08492687 | 42774493 |
| 0175 | 56589875 | 60422455 | 32689350 | 76736006 | 54688726 |
| 0176 | 80756580 | 65561953 | 41751496 | 58974657 | 64025849 |
| 0177 | 26991933 | 67748599 | 86551927 | 59705841 | 39324940 |
| 0178 | 76474964 | 06195616 | 76749645 | 48025167 | 52692280 |
| 0179 | 37454706 | 21117451 | 28645887 | 56972953 | 73706843 |
| 0180 | 81888685 | 80491863 | 91706990 | 64160884 | 47939286 |
| 0181 | 17547784 | 29898749 | 81945707 | 37845891 | 25517806 |
| 0182 | 96657508 | 21698421 | 93759670 | 88765172 | 97055878 |
| 0183 | 77611098 | 24895019 | 79285549 | 07651631 | 59497432 |
| 0184 | 43958607 | 47905959 | 90661854 | 65675799 | 27778944 |
| 0185 | 69477474 | 68736826 | 47094574 | 93086748 | 54485688 |
| 0186 | 41574831 | 34168189 | 87946484 | 18945274 | 76115874 |
| 0187 | 10568587 | 70487735 | 35681573 | 93445012 | 53679551 |
| 0188 | 85495059 | 30457399 | 72475407 | 65498447 | 47647158 |
| 0189 | 66575817 | 91899791 | 90068779 | 28735037 | 52396516 |
| 0190 | 72560845 | 46950456 | 78421693 | 03271166 | 79580625 |
| 0191 | 68158472 | 89925678 | 78712856 | 68092281 | 79549760 |
| 0192 | 15061568 | 73728898 | 59382764 | 16078163 | 62429163 |
| 0193 | 89264817 | 89517465 | 94156539 | 47714471 | 74468408 |
| 0194 | 84664946 | 75059477 | 78417482 | 99362048 | 56697802 |
| 0195 | 80593240 | 81823629 | 73676550 | 19266776 | 45277776 |
| 0196 | 63069376 | 05699542 | 26901737 | 59785957 | 72957558 |
| 0197 | 98462682 | 56298677 | 69426589 | 65968372 | 39791345 |
| 0198 | 27991951 | 09978649 | 82847431 | 81781958 | 91591840 |
| 0199 | 36527821 | 18842574 | 38454070 | 00964887 | 67553387 |
| 0200 | 69634346 | 54438987 | 57404577 | 85076349 | 79067498 |
| 0201 | 83771591 | 18545559 | 74799191 | 98459723 | 86556834 |
| 0202 | 78704265 | 83953975 | 59961477 | 71726965 | 99703883 |
| 0203 | 36372791 | 56157536 | 18755676 | 48526137 | 53762187 |
| 0204 | 57941594 | 07987328 | 99917183 | 98676767 | 98877169 |
| 0205 | 06891428 | 44197845 | 89982741 | 91852058 | 78908712 |
| 0206 | 44199871 | 28241890 | 45048666 | 92896748 | 74866220 |
| 0207 | 40177817 | 99639579 | 74356879 | 98296380 | 67257796 |
| 0208 | 90866762 | 85407774 | 35187444 | 57334795 | 97546487 |
| 0209 | 72757742 | 84720586 | 55956788 | 33558725 | 87646052 |
| 0210 | 89076247 | 78495558 | 78847741 | 28978875 | 33675192 |
| 0211 | 59365729 | 38949934 | 78017869 | 92681647 | 53346804 |
| 0212 | 70933691 | 68607906 | 80473044 | 34766886 | 17717745 |
| 0213 | 85633623 | 67698095 | 99581319 | 81547765 | 62105437 |
| 0214 | 44585879 | 98568855 | 64449965 | 69480644 | 24745698 |
| 0215 | 69161898 | 56044674 | 77067770 | 28687477 | 39535749 |
| 0216 | 06229482 | 51776599 | 63876458 | 48028888 | 30475942 |
| 0217 | 56409594 | 76676188 | 27965569 | 39648930 | 11364825 |
| 0218 | 44279844 | 96764929 | 85081888 | 86447208 | 84767670 |
| 0219 | 26980480 | 29546580 | 04744747 | 99678255 | 74654687 |
| 0220 | 91675409 | 87454569 | 77873595 | 14369443 | 97038979 |
| 0221 | 78944469 | 06000560 | 15846269 | 83391958 | 45741463 |
| 0222 | 66856376 | 60649693 | 19164884 | 57597513 | 77795441 |
| 0223 | 73596626 | 44810778 | 42548024 | 44677615 | 56957694 |
| 0224 | 05792789 | 03243197 | 97560417 | 57456596 | 97828596 |
| 0225 | 93997748 | 34493695 | 87245676 | 85257467 | 38546570 |
| 0226 | 41998528 | 48778591 | 57392524 | 75698837 | 06036060 |
| 0227 | 89354764 | 99167599 | 38567056 | 69444673 | 69737286 |
| 0228 | 55768938 | 35512967 | 65326670 | 45950716 | 66214345 |
| 0229 | 56785750 | 56368528 | 67483059 | 54974945 | 69674499 |
| 0230 | 25596007 | 05014270 | 04477566 | 53099462 | 98064180 |
| 0231 | 11773790 | 34298157 | 80956936 | 76799664 | 36233945 |
| 0232 | 66496003 | 95687509 | 33243760 | 26595997 | 05847535 |
| 0233 | 76529694 | 55575895 | 24845073 | 09877081 | 74767979 |
| 0234 | 12484491 | 26775155 | 79237908 | 98874545 | 83775941 |
| 0235 | 47063146 | 24574938 | 44568271 | 09829063 | 45602995 |
| 0236 | 74658371 | 61668894 | 18311098 | 09618892 | 38689243 |
| 0237 | 87457157 | 14620545 | 87036464 | 72814583 | 40089609 |
| 0238 | 45629437 | 56873833 | 92837691 | 20064636 | 85757424 |
| 0239 | 93898494 | 15019568 | 27974935 | 37446665 | 41748968 |
| 0240 | 90259016 | 72476664 | 96248541 | 07124736 | 42177532 |
| 0241 | 90862217 | 95335464 | 43959458 | 39419779 | 93412697 |
| 0242 | 64246564 | 55279669 | 64647756 | 54856945 | 35930764 |
| 0243 | 97473145 | 79955464 | 86770081 | 56548184 | 62381817 |
| 0244 | 40200299 | 50784575 | 88604965 | 17552988 | 80947299 |
| 0245 | 98790670 | 75977074 | 06522969 | 71793627 | 49289956 |
| 0246 | 66874766 | 46307103 | 11491075 | 85515826 | 53238717 |
| 0247 | 87859421 | 30925326 | 76235182 | 74826865 | 40708277 |
| 0248 | 98265255 | 05367570 | 06744887 | 01711254 | 41377425 |
| 0249 | 60268770 | 46644699 | 68947748 | 37038628 | 33983347 |
| 0250 | 84557023 | 46992618 | 51948986 | 84836901 | 04564695 |
| 0251 | 57494645 | 05939268 | 50759509 | 86684580 | 55405798 |
| 0252 | 97451191 | 67663080 | 40097467 | 64264498 | 69919107 |
| 0253 | 76993708 | 93297688 | 06499749 | 55079410 | 28547375 |
| 0254 | 61859426 | 50785571 | 00011805 | 98970049 | 06159977 |
| 0255 | 98487964 | 31848374 | 57792414 | 06864565 | 88668526 |
| 0256 | 33168044 | 16943943 | 42348544 | 44658766 | 34857840 |
| 0257 | 48612464 | 53925256 | 88056757 | 55945494 | 37499794 |
| 0258 | 58395313 | 66754052 | 14188889 | 41797774 | 28878768 |
| 0259 | 68875256 | 38268799 | 35796380 | 46247422 | 22336815 |
| 0260 | 81565796 | 58274446 | 96095865 | 39778865 | 04568610 |
| 0261 | 46703746 | 96356979 | 34398786 | 92970907 | 06699904 |
| 0262 | 26577417 | 54976677 | 08355435 | 31877105 | 11710462 |
| 0263 | 60602498 | 99590369 | 23756059 | 84979364 | 50542554 |
| 0264 | 84896696 | 42853567 | 59904687 | 43281044 | 15955048 |
| 0265 | 50624967 | 66966584 | 70712675 | 86747475 | 56165274 |
| 0266 | 45637798 | 82749949 | 95354185 | 26199583 | 41944889 |
| 0267 | 65282592 | 66468057 | 69519290 | 21622814 | 05284570 |
| 0268 | 33821134 | 06305873 | 85528509 | 97709346 | 38536950 |
| 0269 | 04969540 | 95743764 | 74635796 | 95426941 | 00639265 |
| 0270 | 64065552 | 57477079 | 98415568 | 94040581 | 64759277 |
| 0271 | 70098079 | 45965106 | 41729870 | 93908966 | 47426473 |
| 0272 | 48518382 | 50668347 | 06744536 | 89319746 | 05045755 |
| 0273 | 99399447 | 97156456 | 17035573 | 43508976 | 44579795 |
| 0274 | 69285577 | 64985678 | 45604586 | 78886059 | 70869889 |
| 0275 | 52672888 | 60563628 | 75867400 | 74875757 | 60568459 |
| 0276 | 63884754 | 48959575 | 77391694 | 21686568 | 55592404 |
| 0277 | 50361976 | 69816428 | 67908982 | 87556076 | 41605874 |
| 0278 | 56484823 | 15587679 | 58527467 | 22740064 | 85783267 |
| 0279 | 71577855 | 49682682 | 90925077 | 66777994 | 47516889 |
| 0280 | 44568348 | 87545860 | 85654087 | 49841782 | 02250502 |
| 0281 | 36777612 | 29868758 | 77744218 | 42067524 | 57105561 |
| 0282 | 84972562 | 45188166 | 88616261 | 89762683 | 66967699 |
| 0283 | 19755168 | 80760824 | 82789749 | 86035280 | 80417345 |
| 0284 | 65855375 | 89456931 | 73441272 | 28867866 | 58910511 |
| 0285 | 64685649 | 88656138 | 86597657 | 72487397 | 56771317 |
| 0286 | 77260686 | 98599607 | 97517958 | 70575649 | 96570197 |
| 0287 | 93013504 | 20410484 | 93945047 | 99566767 | 59616535 |
| 0288 | 35686525 | 49440708 | 09557519 | 09678981 | 98682984 |
| 0289 | 99545418 | 83994728 | 39547027 | 81727452 | 69848976 |
| 0290 | 09618855 | 44457846 | 46958363 | 01447908 | 71077815 |
| 0291 | 71975841 | 94639719 | 42872276 | 55348418 | 34674585 |
| 0292 | 46712884 | 85537594 | 65037912 | 71968546 | 48837368 |
| 0293 | 96584296 | 54293848 | 88615766 | 47567544 | 94235967 |
| 0294 | 93158881 | 40887486 | 00922895 | 03379774 | 50826887 |
| 0295 | 18916040 | 94027649 | 66346109 | 22669784 | 46091869 |
| 0296 | 49664187 | 23452349 | 59577497 | 69823337 | 99597948 |
| 0297 | 74699592 | 32555488 | 95236903 | 87726753 | 86306855 |
| 0298 | 54619860 | 49888366 | 07642356 | 53476943 | 74878428 |
| 0299 | 74999736 | 19029749 | 49966848 | 64543114 | 37659618 |
| 0300 | 67760755 | 32942283 | 98504052 | 42384717 | 49703885 |
| 0301 | 15367997 | 35174904 | 47528690 | 34695816 | 54781974 |
| 0302 | 05328267 | 95942332 | 75894784 | 64656793 | 75446415 |
| 0303 | 64461465 | 51379567 | 93217473 | 35709486 | 18696985 |
| 0304 | 83224765 | 94833381 | 86762568 | 88889448 | 46774653 |
| 0305 | 52387452 | 61639487 | 96715836 | 89248617 | 88067687 |
| 0306 | 77384174 | 18878545 | 77083449 | 79775276 | 47388744 |
| 0307 | 49279285 | 87685562 | 78435484 | 86448155 | 54629666 |
| 0308 | 61909338 | 10403992 | 06322678 | 05229436 | 48834469 |
| 0309 | 26496384 | 47369940 | 57307899 | 52099960 | 47498975 |
| 0310 | 80368672 | 32469454 | 03868749 | 61905745 | 78539679 |
| 0311 | 28549784 | 88782789 | 94868471 | 44814539 | 57339585 |
| 0312 | 87554978 | 89815498 | 12488845 | 95065874 | 56654148 |
| 0313 | 79654707 | 17874990 | 79638266 | 62273227 | 13425596 |
| 0314 | 49942825 | 48687668 | 32454943 | 05546356 | 10879189 |
| 0315 | 17558873 | 99534892 | 29834907 | 06174034 | 58979976 |
| 0316 | 05231827 | 74686043 | 84456615 | 90862665 | 92589399 |
| 0317 | 85954158 | 86487898 | 86362547 | 25508427 | 43700445 |
| 0318 | 07956852 | 43291546 | 57685717 | 74665863 | 28658828 |
| 0319 | 00785720 | 84657713 | 08944950 | 69820216 | 23464499 |
| 0320 | 52314339 | 72640691 | 64317966 | 71378655 | 14314795 |
| 0321 | 52858079 | 55175764 | 81984955 | 92348107 | 63252413 |
| 0322 | 77795829 | 18458519 | 25843848 | 74099099 | 71082416 |
| 0323 | 08656335 | 44901009 | 76674373 | 65486124 | 52647946 |
| 0324 | 01568701 | 85597639 | 01086113 | 42525786 | 54180858 |
| 0325 | 47619344 | 04871598 | 54936936 | 54470344 | 58576858 |
| 0326 | 36940863 | 99047734 | 72575705 | 54464476 | 75055052 |
| 0327 | 05344145 | 68471829 | 87709120 | 72965504 | 41036915 |
| 0328 | 84682855 | 98603384 | 89428752 | 47650633 | 57006774 |
| 0329 | 87340986 | 76654181 | 98970904 | 87198094 | 41958187 |
| 0330 | 25865647 | 67280826 | 46395696 | 74164546 | 43475996 |
| 0331 | 74658492 | 21085234 | 48463751 | 88687645 | 57756109 |
| 0332 | 69467798 | 51472569 | 45094429 | 42281874 | 88544857 |
| 0333 | 88705880 | 74525842 | 56569148 | 93608287 | 04071744 |
| 0334 | 49927902 | 94178629 | 34432955 | 29598074 | 61871897 |
| 0335 | 88187167 | 86277851 | 94834281 | 61440960 | 94633967 |
| 0336 | 07462138 | 84062583 | 39818275 | 83246440 | 54888248 |
| 0337 | 95784882 | 88972989 | 77879814 | 95266514 | 59416655 |
| 0338 | 04835790 | 15769603 | 57738767 | 90838647 | 24421981 |
| 0339 | 84485558 | 83545118 | 15746033 | 32715474 | 32854548 |
| 0340 | 23966332 | 59890442 | 75473494 | 90958964 | 54577496 |
| 0341 | 79676901 | 05775474 | 69526843 | 65872788 | 87497473 |
| 0342 | 18868309 | 47976936 | 57694623 | 76891889 | 74776374 |
| 0343 | 48459667 | 34592884 | 80373965 | 09768648 | 57403478 |
| 0344 | 31977498 | 62879928 | 71276741 | 85755751 | 97567565 |
| 0345 | 65847345 | 15606334 | 78435952 | 67464959 | 40672869 |
| 0346 | 31931073 | 26561983 | 74896958 | 81019194 | 44687468 |
| 0347 | 58897508 | 83644769 | 46748172 | 65499462 | 96422866 |
| 0348 | 44293431 | 86575568 | 97463465 | 66718592 | 86246647 |
| 0349 | 71497255 | 42876558 | 62994607 | 53377707 | 81518244 |
| 0350 | 94653236 | 24148783 | 87960261 | 50740810 | 91498657 |
| 0351 | 69364588 | 85197755 | 79573653 | 45422472 | 34309691 |
| 0352 | 31667865 | 91975141 | 74775059 | 64145688 | 55294295 |
| 0353 | 07970267 | 65747862 | 85187774 | 95574461 | 37905981 |
| 0354 | 79787799 | 66830429 | 74835183 | 27482240 | 22702856 |
| 0355 | 56785589 | 56490328 | 59470837 | 95662765 | 95605594 |
| 0356 | 57473897 | 90412776 | 59707539 | 58293985 | 79455354 |
| 0357 | 68992981 | 34845894 | 65438169 | 44985478 | 97609558 |
| 0358 | 98979875 | 90950993 | 93945432 | 75252809 | 46471586 |
| 0359 | 55185365 | 30728558 | 42920344 | 46077508 | 07965780 |
| 0360 | 49877944 | 16864290 | 06488495 | 54777313 | 94303990 |
| 0361 | 84737405 | 48534044 | 49656767 | 64983104 | 67800892 |
| 0362 | 56450327 | 32798262 | 75738765 | 75624884 | 73264911 |
| 0363 | 31599619 | 21256227 | 54995188 | 25488064 | 86034865 |
| 0364 | 82488853 | 40892439 | 79867864 | 90488047 | 50557057 |
| 0365 | 04876194 | 31867516 | 16455289 | 18654930 | 94400804 |
| 0366 | 26795973 | 28524624 | 78758553 | 72095535 | 02126134 |
| 0367 | 08909194 | 56268866 | 77437959 | 43540551 | 86862687 |
| 0368 | 82644377 | 98085736 | 68175975 | 50466448 | 48609828 |
| 0369 | 88865484 | 67169862 | 50246894 | 66474945 | 45479617 |
| 0370 | 76687539 | 17459987 | 13775291 | 58494841 | 64097448 |
| 0371 | 44460499 | 67387264 | 17975594 | 81448726 | 18844767 |
